0,1,2,3,4,5,6,7,8
类别年份,主营业务成本 （亿元),累计增长 （%),销售费用 （亿元),累计增长 （%),管理费用 （亿元),累计增长 （%),财务费用 （亿元),累计增长 （%)
202409,--,--,1276.2,-9.4,2404.2,3.3,125.9,29.9
202408,--,--,1132.4,-8.5,2091.3,4,95.1,-2.7
202407,--,--,1012.5,-4.8,1828.9,4.1,66.8,-15
202406,--,--,869.5,-3.8,1576.1,4.6,46.4,-7.2
202405,--,--,723.7,0,1259,4.9,1.4,-97.8
202404,--,--,576.4,1.5,1002.2,4.3,23.9,-62.6
202403,--,--,420.4,1.4,765.1,2.9,21.1,-53.1
202402,--,--,262.1,2.1,497,11.7,17.9,-43
202312,--,--,1952.3,10.7,3239.7,1.8,112.8,50.2
202311,--,--,1773.9,11.2,2856.5,2.6,134.9,85.6
202310,--,--,1570.3,10,2530.7,2.3,117.8,125.2
202309,--,--,1398.7,10.2,2271.2,4.1,94.8,128.4
202308,--,--,1228.7,10.8,1966.8,3.5,97.2,74.2
202307,--,--,1055.8,11.1,1717.1,4.5,77.9,64.3
202306,--,--,897.2,13.5,1475,4.3,49.5,14.3
202305,--,--,720.8,9.4,1184.5,1.1,67.1,31.8
202304,--,--,568.8,7.3,951.6,0.9,67.3,128.1
202303,--,--,418.4,0.6,739.9,4.9,44.9,60.4
202302,--,--,260.1,-6.7,444.6,0.8,31.9,46.3
202212,--,--,1894.4,-5.8,3204,-5.1,83.9,-16.5
202211,--,--,1721.2,-6.1,2801,-7,79,-17
202210,--,--,1543.6,-6.1,2491.1,-6.8,57.7,-36.9
202209,--,--,1376.6,-6.4,2199.3,-8.1,46.6,-42.8
202208,--,--,1202.9,-8.9,1913.1,-8.7,59.7,-29.1
202207,--,--,1034.9,-10.7,1654.7,-10,50.9,-29.2
202206,--,--,860.7,-13.9,1429.5,-10.1,46.1,-24.1
202205,--,--,705,-17,1180,-9.5,52.4,-12.2
202204,--,--,566.3,-17.6,948.8,-10.3,30.6,-26.8
202203,--,--,439.5,-13.1,703.4,-10.5,27.9,80
202202,--,--,292.2,-10,439.5,-13.6,21.5,10.3
202112,--,--,2021.6,-7.4,3351.8,4.9,100.5,-63.6
202111,--,--,1841.9,-5.1,2994.1,8.6,93.9,-61.8
202110,--,--,1645.3,-3.6,2654.8,7.3,88.4,-59.2
202109,--,--,1473,-1.5,2382,8.4,78.7,-61.1
202108,--,--,1328.8,3.6,2096.4,11,85.4,-56.9
202107,--,--,1166.9,4.6,1843.4,12.3,75.1,-58.3
202106,--,--,1009.9,9.5,1592.2,13.6,63.4,-54.5
202105,--,--,857.6,16.3,1306.5,14.1,60.6,-50.5
202104,--,--,693.7,25.9,1057.8,17.8,43.1,-47.4
202103,--,--,511.9,39.9,786.4,18.6,17.3,-73.1
202102,--,--,327.5,48.5,510.4,22.8,20.2,-44.2
202012,--,--,2187.6,-2.8,3199.3,-0.5,289.6,-9.9
202011,--,--,1940,-2.8,2751.1,-3.7,256.8,-15.4
202010,--,--,1713.5,-3.1,2480.9,-4.7,228.2,-19.2
202009,--,--,1502.3,-4.6,2207.3,-5.5,214.1,-13
202008,--,--,1279.7,-6.2,1886.9,-7.5,204.1,-13.1
202007,--,--,1113.4,-6.1,1640.9,-7.5,184,-1.2
202006,--,--,954.3,-7.3,1410.7,-9,140.4,-14.1
202005,--,--,756.3,-12.6,1150.2,-10,123.2,-7.9
202004,--,--,566.4,-17.3,900.5,-11.3,82.7,-3.9
202003,--,--,376.8,-24.2,662.6,-11.9,65,5.5
202002,--,--,227.8,-28.2,414.6,-14.6,35.3,-6.4
201912,--,--,2289.5,-4,3257.1,-3.8,331,8.2
201911,--,--,2027.1,-4.9,2888.3,-5.8,310.6,3.9
201910,--,--,1800,-7.1,2623.5,-3.3,291.4,7.9
201909,--,--,1608.7,-7.9,2357.4,-5,256.8,5.1
201908,--,--,1403.1,-9.7,2062.5,-5.2,245,10.3
201907,--,--,1222.4,-8.4,1797.6,-5.1,196.3,0.1
201906,--,--,1049.3,-8.5,1564.3,-4.2,177.3,24.9
