0,1,2,3,4,5,6,7,8
201905,--,--,885.8,-7.3,1292,-5.2,145.9,31.1
201904,--,--,701.2,-5.8,1029.7,-4.9,96.9,4.1
201903,--,--,509.8,-6.3,765.9,-6.8,70.5,-0.6
201902,--,--,324.1,-6.6,494,-5.9,46.1,4.1
201812,67745.2,3.9,2399.7,3.1,4336.3,7.6,311.7,7.3
201811,61951.4,5.6,2172.7,5.3,3858.3,9.3,304.4,13.3
201810,55918,6.6,1971.6,8.1,3463.9,10.6,272.9,13.8
201809,50417.8,8.1,1767.5,10.1,3105.2,11.2,247,8.8
201808,44716.8,9.5,1575.7,13.3,2725.5,11.6,228.2,10
201807,39657.9,10.6,1354.7,9.6,2371.5,11,202.3,9.5
201806,34414.4,11.4,1160.9,9.1,2032,10.3,147.1,-4
201805,28685.4,12.1,971.7,8.8,1670.1,10.5,116.7,-8.9
201804,22886.5,11.4,760.1,5.2,1330.4,10.1,99.1,0.3
201803,16932.9,8.9,555.4,3.3,997.7,9.8,76.5,10.4
201802,10584.2,6.9,353.5,4.9,629.5,9.1,46,11.1
201712,71583,11.4,2410.4,9.3,4100.5,10.4,327.1,-3.2
201711,64836.9,11.5,2147.7,9.4,3616.4,9.8,305,-2.7
201710,58812.8,12.1,1923,9.4,3240.4,9.8,283.4,-3.2
201709,52484.7,12.3,1698.6,9.4,2894.9,9.7,259.1,-4.1
201708,46118.2,12.2,1469.4,8.9,2523.4,9.7,235.4,-4.2
201707,40344.9,12.3,1300.1,8.8,2203.6,9.4,208.1,-3.1
201706,34718.8,12.4,1122.1,10.2,1901.8,10.5,174.6,-6.5
201705,28407.8,12.5,934.9,13.6,1554,11.1,144.7,-4.9
201704,22666.1,13,750.6,14.2,1234.8,11,109,-10.9
201703,17019.3,15,557.2,17.4,926.8,12,76.6,-19.6
201702,10626.1,15.7,347.8,16,585.4,11.3,47.6,-29.4
201612,67061.7,14,2268.5,14,3760.3,13.3,350.6,-3.5
201611,59798.8,14.1,1999.3,14.5,3307.9,12.5,319.6,0.9
201610,53056.4,13.9,1771.29,14.3,2940.5,11.7,294.4,2.5
201609,47056.9,13.7,1556.79,13.7,2620.3,10.9,270.5,2.1
201608,40956.7,12.4,1347.9,11.1,2277.4,9.8,241.7,4
201607,35818.5,11.5,1195.1,9,1994.4,9.5,211.2,26.9
201606,30808.2,10.5,1018.2,8.9,1703.7,8.6,183.9,30.2
201605,25200.8,9.5,823.2,5.7,1386,9.5,150.4,40.6
201604,20045.8,9.1,657.6,6.2,1104.3,9.7,121.2,49.3
201603,14509.9,7,475.5,4.4,822.1,10.7,94.5,79
201602,9161.9,8.2,298.7,0.6,522,8.6,66.5,60.2
201512,58739.7,5.9,1980.1,-5.2,3279.6,6.9,358.5,43.7
201511,52436.8,5.2,1738.1,-6.6,2908.6,8.1,313.9,31.4
201510,46608.7,3.8,1543.5,-7.7,2607,7.4,284.4,29.6
201509,41375.9,3.4,1364,-8.1,2331.7,7.9,261.5,35.8
201508,36443.7,3.8,1208.6,-7.1,2050.5,8.5,229.4,25.2
201507,32136.9,4,1092.1,-3.8,1802.8,8.9,165.1,0.6
201506,27844.3,4.9,931.1,-4.6,1549.7,10.5,140.3,-3.4
201505,22968.6,5.1,778,-3.2,1253.5,9,106.8,-13
201504,18255,5.7,616.7,-1.1,994.1,9.1,80.4,-21.7
201503,13510.4,5.8,454.2,4.3,735.2,9.3,51.8,-30
201502,8429.1,7.7,292.7,6,477.2,9.3,38.6,-17.2
201412,55059,12,2082,7.8,3043.6,13.3,242.6,9.7
201411,49342.8,12,1847.6,9,2654.4,14.8,236.4,9.3
201410,44454.4,13,1661.2,10.7,2394.3,15.6,216.6,9.4
201409,39618.8,13,1474.9,11.5,2131.1,15.6,190.3,10.4
201408,34841.6,13.7,1293.9,12.4,1864.1,15.8,180.4,24.7
201407,30632.8,14.2,1129.9,12.2,1629.9,16.1,161.1,29.2
201406,26361.7,13.9,969.7,11.9,1384.7,15.2,142.5,45.4
201405,21700.1,14.2,800.5,15.6,1136.5,16,120.8,59.4
201404,17174.2,15.3,621.2,16,903.8,16.1,101,68.9
201403,12668.8,16.7,432.2,13,662.2,16.1,73.9,56.9
201402,7756.26,18.27,273.14,14.03,427.81,14.93,45.97,38.71
201312,50313.61,18.93,1916.55,23.33,2685.04,18.13,240.73,-9.02
201311,45172.47,18.12,1692.56,21.02,2316.17,16.2,228.04,-6.31
201310,40386.56,17.38,1501.56,19.48,2077.09,16.64,209.26,-4.28
201309,35972.95,16.41,1322.75,17.68,1850.4,15.44,183,-11.46
201308,31475.6,15.34,1153.96,16.21,1617.76,14.72,153.6,-15.6
201307,27559.08,16.15,1010.27,18.4,1410.94,14.55,133.81,-12.15
201306,23799.29,16.76,868.79,19.83,1207.8,15.66,106.67,-19.35
201305,19408.33,16.2,679.38,16.24,977.49,14.18,81,-22.63
201304,15238.03,14.51,531.56,14.51,778.87,14.24,64.51,-20.02
201303,11034.17,11.98,382.99,16.28,568.83,12.01,50.94,-19.74
201302,6674.89,14.03,241.29,14.37,372.83,16.01,34.06,-18.75
201212,41818.55,7.93,1554.01,7.53,2241.1,15.25,260.77,53.47
201211,37861.88,7.62,1403.32,7.53,1967.66,16.13,240.8,71.23
201210,34013.18,8.35,1257.9,8.05,1753.94,15.28,215.35,63.59
201209,30575.24,8.88,1124.67,6.59,1577.27,16.51,204.01,86.29
201208,26983.21,9.52,992.57,7.5,1387.03,18.01,177.44,72.56
201207,23444.96,8.85,851.77,6.05,1208.21,18.24,148.24,59.33
201206,20184.98,8.71,724.26,5.28,1025.77,19.08,129.2,68.8
201205,16613.98,8.14,586.18,1.49,845.29,18.05,102.94,60.67
201204,13240.13,6.53,465.55,1.11,673.8,15.85,79.62,35.41
201203,9800.68,8.27,327.72,-2.42,502.42,16.02,61.53,46.81
201202,5827.52,4.32,209.25,2.11,316.77,13.34,40.81,46.22
