0,1,2,3,4,5,6,7,8
类别年份,企业数量 （个),亏损企业数 （个),亏损总额 （亿元),累计增长 （%),存货 （亿元),累计增长 （%),产成品 （亿元),累计增长 （%)
202409,19510,5290,1052.5,-4.3,9302,2.2,4359.4,6.7
202408,19437,5340,928.8,-6.7,9327.3,2,4361.2,5.7
202407,19406,5444,801,-9.2,9204.9,1.1,4288,5.3
202406,19393,5616,691.9,-12,9031.4,0.1,4119.9,2.8
202405,19360,5547,588.8,-9,9332.7,0.1,4224.2,0.8
202404,19354,5827,498.5,-16.1,9412,0,4319.3,2.2
202403,19344,6651,401.1,-12.7,9196.2,-2.6,4187,0
202402,19337,6278,336,-4.5,9084.5,-3.2,4005,0.2
202312,18503,4283,1412.4,-4.1,8878.1,-6.2,4097,2.3
202311,18525,4736,1177.7,-3.9,9466.7,-3.9,4346.8,2.8
202310,18427,5009,1121.4,5.3,9179.8,-5.4,4139,0
202309,18375,5224,1009,5.9,9035.5,-4.7,4049.2,1.6
202308,18323,5341,911.7,7.9,9079.8,-3,4086.9,4.6
202307,18298,5516,811.2,8.5,9024.9,-2.5,4027.1,4.2
202306,18290,5745,718.1,9.9,8938.9,-1.4,3967.9,5.7
202305,18257,5880,611.2,3.1,9248.6,0.6,4161.1,8.7
202304,18259,6141,567.6,18.8,9332.2,3.8,4191.1,11.9
202303,18254,6801,430.8,30.1,9403.7,7.2,4173.5,12.9
202302,18252,6917,341.7,57.5,9352.1,10.1,3983.9,11
202212,17517,4469,1223.9,17.1,9401.2,10.2,3979.2,8.1
202211,17523,4820,1088.9,25.6,9837.2,14.9,4231.6,15.8
202210,17446,5005,972,20.1,9736.4,16,4198.5,18.1
202209,17416,5179,883.9,22.2,9544.6,14.7,4053.3,15.6
202208,17369,5355,794.5,24.1,9390.9,16.9,3957,17.2
202207,17342,5485,698.1,30.2,9249.3,19,3856.9,15.5
202206,17342,5766,602.2,29.4,9092.2,21.5,3778.9,17.1
202205,17336,5782,518,29.9,9219.6,22.6,3851,15.6
202204,17319,5750,427.7,23.6,9025.8,18.9,3744.7,7.4
202203,17315,5689,303.4,8.9,8785.8,16.1,3689.6,5.4
202202,17316,5611,211.6,8.2,8517.1,13.2,3577,2
202112,16414,3581,1020.4,-2.4,8544.1,15.8,3671.1,3
202111,16413,4013,851.4,2.4,8567.2,17,3641.6,6.5
202110,16327,4167,792.3,5.6,8362.9,16.9,3529.8,7.5
202109,16295,4190,710.1,1,8285.6,17.9,3479.2,7.9
202108,16261,4117,623,-5.1,8180.7,16,3400.7,5.3
202107,16231,4093,521.4,-16.1,7908.7,11.7,3390.8,4.7
202106,16202,4124,453,-20,7642.3,8.8,3275.4,3.7
202105,16178,4007,383.4,-30.4,7648.1,6.6,3362.9,3.9
202104,16173,4073,331.9,-29.5,7717.4,6.3,3502.7,9.2
202103,16177,4561,268.3,-46.8,7686.9,6.1,3540.4,13.5
202102,16160,4413,188.9,-49.6,7645.2,8.6,3530.5,14.7
202012,15686,3245,1088.9,2.9,7514.2,5.7,3589,11.9
202011,15685,3560,872.2,-2.7,7450.2,3.4,3446.2,10.4
202010,15596,3821,810.9,-3.1,7337.3,4.4,3338.7,12.6
202009,15543,4061,769.1,-2.2,7210.4,4.6,3282.5,12.4
202008,15510,4183,738.9,3.2,7098.4,2.2,3256.2,8.6
202007,15482,4376,700.3,14.1,7133.7,3.3,3268.5,10.3
202006,15444,4744,568,11.9,7173.1,3.4,3232.7,7.8
202005,15407,4992,556.7,13.2,7267.1,-0.4,3288.4,2.7
202004,15377,5481,472.5,15.6,7394.8,2.8,3258.1,3.3
202003,15366,6483,444.7,37,7411.8,5.4,3196.1,6.2
202002,15366,6375,310.8,8.2,7106.2,-1.2,3054.9,-1.2
201912,15396,3288,1025.3,56.9,7493.4,-1.2,3506.5,6.5
201911,15343,3608,879.7,47.3,7511.5,-5.7,3230.5,-8.1
201910,15275,3806,817.5,51.3,7336.8,-6,3062.4,-10.2
201909,15223,3886,765.7,65.1,7198.9,-7.1,3034.5,-10.6
201908,15185,3905,704.5,63.8,7294,-5.7,3118.3,-7.8
201907,15200,3901,614.4,82.4,7279.2,-5.8,3106.2,-10.4
201906,15154,3929,525.2,86.6,7215.3,-2.7,3097.2,-5.7
201905,15138,3905,499.2,94,7651.3,3.5,3317,1
201904,15121,4024,415.9,104.4,7535.5,3.9,3258.6,2.9
201903,15110,4197,332,106.6,7365.8,2,3109.9,-1.4
201902,15094,4589,291.6,127.1,7527.8,5.8,3193.5,5.8
201812,15174,2731,642.5,38.6,7690.3,8,3315.8,1.3
201811,15176,2930,586.8,40.9,8085.1,10.6,3536.8,7.9
201810,15095,3005,520.3,32.5,7868.8,11.2,3428.6,10
201809,15045,3047,462.6,29,7782.6,12,3412.8,10.4
201808,15007,2998,428,29.8,7786.5,12.2,3412.2,10.6
201807,14966,2895,340.3,21.7,7734.1,11.9,3478.7,12.3
201806,14951,2896,282.3,19,7403.8,9.2,3284.7,8.3
