0,1,2,3,4,5,6
类别年份,增加值同比增长 （%),增加值累计增长 （%),出口交货值当月值 （亿元),同比增长 （%),出口交货值累计值 （亿元),累计增长 （%)
201404,11.5,13.3,242.7,8.4,910,7.9
201403,11.7,14,258.7,4.5,670.8,8.6
201402,--,15.5,--,--,407.1,10.3
201312,20.8,14.9,279,9.2,2948.8,7.4
201311,20.3,14.3,260.3,10.4,2662.6,6.2
201310,18.2,13.5,250.2,4.5,2383.1,5.3
201309,17.7,12.9,259.7,6.5,2130.7,5.1
201308,13.9,12.2,241.3,5.5,1871.8,2.9
201307,14.1,12,246.9,6.9,1626.7,5.4
201306,10.6,11.7,240.7,-2.4,1384.2,5.6
201305,13.3,11.9,246.3,2.4,1148.5,8.9
201304,12.9,11.4,238.8,4.1,898.2,8.8
201303,10.2,10.8,259.5,12.1,655.5,11.2
201302,--,11.2,182.5,-7.6,394.1,7.2
201212,6.6,8.4,253.51,13.32,2723.73,11.11
201211,6.5,8.6,231.94,3.24,2478.68,10.64
201210,5.9,9.2,235.95,3.35,2235.7,10.97
201209,6.3,9.7,240.64,4.24,2001.48,12.17
201208,9.7,10.4,224.73,4.48,1793.28,15.56
201207,9.8,10.1,227.48,11.05,1526.85,13.74
201206,12.7,10.2,245.99,14.22,1301.02,15.2
201205,16.4,9.7,238.43,14.92,1044.78,14.24
201204,10.5,8.4,226.51,17.54,813.31,16.38
201203,10.9,8,232.64,24.88,589.56,17.61
201202,26.3,5.9,196.36,25.88,365.48,14.23
