0,1,2,3,4,5,6,7,8
201702,38722.3,18.1,10709.6,20.6,66205.9,14.9,38018.5,16.2
201612,39434.6,17.9,11149,20.5,67310.2,15,39125.2,17
201611,38720.9,16.4,11284.3,19.3,66121.6,14.6,38359.4,15.2
201610,37166.7,17.5,10768.6,25.4,64157.8,15,37030.3,16.3
201609,35945.59,17.3,10260,25.8,62605.4,15,35847.59,15.6
201608,34438.3,14,9625.8,21,60687.3,12.9,34456.5,12.6
201607,33882.3,11.1,9702.2,17,59920,11.5,34190.1,11
201606,34191.4,10,9631.8,14.6,59975.6,10.9,34739.1,10.8
201605,34455.9,10.7,9620.4,16.5,60028.8,11.3,34739.5,11
201604,34282.2,11.3,9507.9,19.9,59866.8,11.7,34326.4,10.6
201603,33763.8,12.3,9123.5,18.7,59016.7,12.2,33637.6,13
201602,32668.4,11.6,8816.3,18.2,57464.4,12,32632.5,13.4
201512,33028.3,11.4,9075.3,21.2,57882.1,11.1,33015.2,12.1
201511,32966.2,10.1,9315.1,17.6,57189.9,10.8,32926.6,9.2
201510,31358.4,8.4,8478.9,14.7,55340.4,9.7,31496.9,8.7
201509,30322.1,6.5,8026.8,9.8,53951.5,8.7,30570.3,6.9
201508,29938.6,7.2,7838.9,9,53295.8,9,30230.7,8.5
201507,30233.1,7.2,8186.9,9.7,53296.4,9,30469.6,8.3
201506,30786.3,8.5,8267.1,8.9,53864.4,10,31216.8,9.6
201505,30899.3,8.3,8135.7,7.5,53902.7,10.3,31237.1,9.3
201504,30479,6.6,7788.4,5.9,53227.8,9,30866.3,8
201503,30046.8,7.6,7599.6,4.8,52725.6,9.4,29768.2,9
201502,29377.1,8.4,7409.4,8.1,51544.6,9.9,28900.4,8.4
201412,29678.8,9.6,7396.3,6.2,52144.4,11.6,29471.6,10.6
201411,29677.5,9.6,7819.5,9.4,51255.5,10.9,29692.7,11.4
201410,28703.6,9.7,7291.7,7.7,50121.6,11.6,28883.1,11.8
201409,28267.1,10.3,7228.6,9.6,49321.1,11.8,28509,12.2
201408,27722.7,10.9,7104.2,11.5,48507,12,27733.2,11.1
201407,27948.2,14.4,7383.3,18.3,48491.1,13.8,27938.4,13.9
201406,28182.9,14.3,7559.4,19.6,48438.6,14.1,28170.4,14.2
201405,28353.1,14.8,7528.6,23.1,48327.1,14.1,28219.6,13.5
201404,28383.8,15.8,7326.5,22.3,48290.1,15.2,28223.3,15.2
201403,27577.9,15.7,7216.2,23.4,47421.3,15.1,26911.3,13.4
201402,26615,15.35,6784.67,22.19,45860.78,14.64,25998.17,13.93
201312,27237.74,17.26,7028.4,31.66,46788.28,16.97,26719.41,18.27
201311,27379.01,17.63,7228.25,26.09,46377.52,17.84,26669.86,19.07
201310,26520.79,16.64,6867.63,23.65,45172.33,17.7,25981.01,19.45
201309,25961.55,14.89,6699.54,21.67,44399.25,17.02,25566.5,18.76
201308,25365.14,14.28,6487.89,21.97,43627.44,16.97,25132.98,18.34
201307,24829.36,12.23,6368.2,22.07,42979.18,16.14,24734.52,16.7
201306,25065.4,13.49,6434.29,25.27,42804.3,16.38,24921.23,17.32
201305,24957.77,13.83,6178.99,21.2,42396.51,16.4,24936.57,17.39
201304,24757.3,11.52,6053.84,19.1,41985.93,14.67,24593.32,14.51
201303,24040.78,9.17,5878.74,20.12,41149.28,13.39,23759.1,13.07
201302,23332.95,10.55,5559.57,23.16,40130.23,13.83,22883.75,13.28
201212,22874.64,8.21,5172.77,13.41,39447.74,12.72,22175.49,8.72
201211,22952.48,8.22,5598.17,16.47,38863.69,12.66,22023.62,8.78
201210,22374.52,7.31,5417.8,16.71,37812.63,11.65,21343.49,7.64
201209,22244.1,8.06,5381.25,19.2,37410.91,12.6,21165.33,8.19
201208,21819.68,7.91,5191.12,17.5,36715.72,12.74,20821.51,8.97
201207,21601.52,8.73,5074.48,15.29,36177,13.72,20632.46,10.61
201206,21711.9,9.76,5004.61,15.12,36036.45,14.32,20741.21,11.73
201205,21686.97,10.25,5032.46,19.05,35915.31,14.63,20846.44,12.09
201204,21996.49,10.6,5019.88,17.66,36131.69,14.74,21128.11,13.02
201203,21801,10.63,4833.19,16.1,35773.39,14.53,20658.8,10.75
201202,20861.13,10.82,4464.64,10.95,34669.81,15.65,19884.54,13.05
